instance_set,num_instances,avg_tp,avg_tn,avg_fp,avg_fn,fp_dev_mean,fp_dev_max,avg_acc,avg_prec,avg_rec,avg_spec,avg_f1,avg_ano_link_perc,avg_model_acc,gt_match_perc,avg_ratio_of_found_gtfp,avg_num_fault_paths,max_num_fault_paths,avg_fault_path_len,max_fault_path_len,avg_runtime (s),avg_classification_ratio,diag_success_percentage,median_runtime (s),median_num_fault_paths,median_fault_path_len,max_runtime (s),avg_compensation_by_aff_by_savior,avg_missed_chances,avg_no_second_chance,fp_dev_min
129_20_10_50_10_95_99_42,100,25.35,95.63,2.39,0.62,50.43,1085.0,0.98,0.92,0.98,0.98,0.94,94.86,0.97,0,0.72,64.55,2146.0,4.92,10.96,55.29,0.96,100,46.37,35.0,4.68,571.07,25.86,0.08,0.08,0.0
129_10_5_50_10_90_95_42,100,11.95,66.1,4.49,0.95,1.76,6.0,0.93,0.73,0.93,0.94,0.82,84.61,0.92,1,0.67,10.54,14.0,1.35,2.36,25.44,0.65,100,25.08,11.0,1.3,35.52,10.31,0.15,0.08,0.0
129_5_10_50_10_95_99_42,100,5.85,53.34,1.12,0.12,0.52,3.0,0.98,0.85,0.98,0.98,0.91,96.67,0.97,28,0.81,4.92,6.0,1.33,3.0,14.18,0.47,100,15.69,5.0,1.2,20.01,5.53,0.08,0.0,0.0
129_1_10_50_10_90_95_42,100,0.93,16.64,1.29,0.07,0.62,3.0,0.94,0.6,0.93,0.95,0.71,100.0,0.93,37,0.59,1.0,1.0,1.0,1.0,3.73,0.15,95,3.06,1.0,1.0,11.28,0.42,0.0,0.0,0.0
129_20_2_50_10_90_95_42,100,24.31,70.87,5.09,1.65,2.28,6.0,0.93,0.83,0.93,0.93,0.88,87.56,0.92,0,0.84,21.87,26.0,1.24,1.61,33.19,0.79,100,34.47,22.0,1.22,38.93,11.68,0.05,0.03,0.0
129_1_10_50_10_95_99_42,100,0.99,13.25,0.38,0.01,0.22,2.0,0.98,0.83,0.99,0.98,0.89,100.0,0.97,68,0.85,1.0,1.0,1.0,1.0,1.7,0.11,99,1.24,1.0,1.0,6.42,0.35,0.0,0.0,0.0
129_5_5_50_10_95_99_42,100,5.88,42.64,1.06,0.11,0.66,3.0,0.98,0.86,0.98,0.98,0.91,97.0,0.97,24,0.88,5.35,6.0,1.17,2.0,13.37,0.39,100,13.74,5.5,1.2,19.34,3.92,0.01,0.0,0.0
129_1_5_50_10_90_95_42,100,0.92,10.31,0.7,0.08,0.49,3.0,0.94,0.74,0.92,0.95,0.83,100.0,0.93,55,0.79,1.0,1.0,1.0,1.0,1.97,0.09,95,1.33,1.0,1.0,5.84,0.15,0.0,0.0,0.0
129_1_20_50_10_95_99_42,100,1.0,20.11,0.46,0.0,0.22,2.0,0.98,0.81,1.0,0.98,0.87,100.0,0.97,66,0.78,1.0,1.0,1.0,1.0,4.2,0.17,100,3.46,1.0,1.0,16.5,0.78,0.0,0.0,0.0
129_20_5_50_10_95_99_42,100,25.37,80.74,2.11,0.58,1.86,8.0,0.97,0.93,0.98,0.98,0.95,95.88,0.97,2,0.86,19.3,28.0,2.11,4.68,11.78,0.84,100,11.7,19.0,1.96,16.96,22.0,0.11,0.03,0.0
