instance,TP,TN,FP,FN,#fp_dev,acc,prec,rec,spec,F1,ano_link_perc,avg_model_acc,gt_match,#fault_paths,ratio_of_found_gtfp,avg_fp_len,runtime (s),classification_ratio,diag_success,compensation_by_aff_by_savior,missed_chances,no_second_chance
129_40_5_50_10_90_95_42_0,48,71,6,4,29,0.92,0.89,0.92,0.92,0.9,61.21,0.93,False,142,0.2,7.5,29.37,1.0,True,47,0,0
129_40_5_50_10_90_95_42_28,50,71,6,2,131,0.94,0.89,0.96,0.92,0.92,82.87,0.93,False,78,0.44,6.09,20.45,1.0,True,47,0,0
129_40_5_50_10_90_95_42_31,47,72,4,5,1,0.93,0.92,0.9,0.95,0.91,85.12,0.93,False,56,0.71,4.0,19.06,0.99,True,46,0,0
129_40_5_50_10_90_95_42_27,49,72,5,3,3,0.94,0.91,0.94,0.94,0.92,79.89,0.92,False,89,0.49,4.97,19.67,1.0,True,47,0,0
129_40_5_50_10_90_95_42_5,47,74,3,5,2,0.94,0.94,0.9,0.96,0.92,91.26,0.92,False,58,0.71,4.16,19.13,1.0,True,45,0,0
129_40_5_50_10_90_95_42_2,49,71,5,3,12,0.94,0.91,0.94,0.93,0.92,92.06,0.92,False,84,0.57,5.8,15.9,0.99,True,39,0,0
129_40_5_50_10_90_95_42_3,48,70,7,4,6,0.91,0.87,0.92,0.91,0.89,79.14,0.92,False,322,0.13,11.23,51.85,1.0,True,43,0,0
129_40_5_50_10_90_95_42_10,49,73,4,3,37,0.95,0.92,0.94,0.95,0.93,98.76,0.92,False,117,0.47,5.82,25.77,1.0,True,45,0,0
129_40_5_50_10_90_95_42_29,48,70,4,4,32,0.94,0.92,0.92,0.95,0.92,67.11,0.93,False,53,0.36,5.25,19.35,0.98,True,40,0,0
129_40_5_50_10_90_95_42_8,48,73,4,4,45,0.94,0.92,0.92,0.95,0.92,87.92,0.92,False,314,0.49,8.15,37.03,1.0,True,40,0,0
129_40_5_50_10_90_95_42_24,51,67,9,1,35,0.92,0.85,0.98,0.88,0.91,97.4,0.92,False,65,0.38,4.55,15.67,0.99,True,43,0,0
129_40_5_50_10_90_95_42_23,46,73,4,6,250,0.92,0.92,0.88,0.95,0.9,75.11,0.93,False,470,0.21,8.35,56.04,1.0,True,48,0,0
129_40_5_50_10_90_95_42_30,49,72,5,3,5100,0.94,0.91,0.94,0.94,0.92,93.77,0.93,False,515,0.22,12.19,1030.35,1.0,True,46,0,0
129_40_5_50_10_90_95_42_15,48,72,5,4,181,0.93,0.91,0.92,0.94,0.91,90.37,0.92,False,969,0.34,13.2,102.73,1.0,True,43,0,0
129_40_5_50_10_90_95_42_26,49,67,7,3,12,0.92,0.88,0.94,0.91,0.91,92.4,0.93,False,60,0.65,3.85,17.6,0.98,True,34,0,0
129_40_5_50_10_90_95_42_18,48,71,6,4,3254,0.92,0.89,0.92,0.92,0.9,75.16,0.92,False,4161,0.08,12.98,252.41,1.0,True,50,0,0
129_40_5_50_10_90_95_42_25,50,70,7,2,191,0.93,0.88,0.96,0.91,0.92,99.86,0.92,False,119,0.84,7.04,20.86,1.0,True,40,0,0
129_40_5_50_10_90_95_42_1,48,71,6,4,268,0.92,0.89,0.92,0.92,0.9,90.12,0.93,False,327,0.26,8.92,39.94,1.0,True,42,0,0
129_40_5_50_10_90_95_42_9,49,72,5,3,61,0.94,0.91,0.94,0.94,0.92,95.5,0.92,False,69,0.77,5.83,15.07,1.0,True,44,0,0
129_40_5_50_10_90_95_42_7,48,73,4,4,101,0.94,0.92,0.92,0.95,0.92,87.68,0.92,False,296,0.36,8.79,32.74,1.0,True,39,0,0
129_40_5_50_10_90_95_42_6,47,72,5,5,7,0.92,0.9,0.9,0.94,0.9,84.05,0.93,False,97,0.44,6.75,21.28,1.0,True,44,0,0
129_40_5_50_10_90_95_42_4,48,73,3,4,26,0.95,0.94,0.92,0.96,0.93,87.39,0.93,False,64,0.56,6.2,16.46,0.99,True,47,0,0
129_40_5_50_10_90_95_42_16,49,71,6,3,40,0.93,0.89,0.94,0.92,0.91,99.72,0.93,False,167,0.95,7.44,32.86,1.0,True,42,0,0
129_40_5_50_10_90_95_42_11,49,70,7,3,51,0.92,0.88,0.94,0.91,0.91,83.59,0.93,False,554,0.07,12.16,61.55,1.0,True,41,0,0
129_40_5_50_10_90_95_42_21,46,70,5,5,1,0.92,0.9,0.9,0.93,0.9,76.92,0.92,False,42,0.74,3.17,11.92,0.98,True,43,0,4
129_40_5_50_10_90_95_42_20,47,71,4,5,10,0.93,0.92,0.9,0.95,0.91,91.0,0.92,False,75,0.72,3.81,15.55,0.98,True,41,0,0
