anomaly_perc,affected_by_perc,anomaly_perc_aff_by_ratio,f1_scores,anomaly_link_perc_scores,compensation_ano_link,gt_match_perc,avg_ratio_gtfp,compensation_gtfp,model_acc_connectivity_ratio,num_classifications_model_acc_ratio,avg_model_acc,anomaly_perc_model_acc_ratio,num_classifications,avg_num_fault_paths,avg_fault_path_len,anomaly_perc_aff_by_prod,avg_runtime (s),median_runtime (s),median_num_fault_paths,median_fault_path_len,sum_of_avg_fault_paths_and_dev,sum_of_max_fault_paths_and_dev,max_runtime (s),anomaly_perc_aff_by_model_acc_aggregation,avg_fp,avg_fn,anomaly_perc_model_acc_aggregation,miss_due_to_class_iss,missed_anomalies_unclassified,all_missed_anomalies,diag_success_percentage,fp_dev_max,fp_dev_mean,permutations,permutation_perc,permutation_approx,approx_perc,avg_compensation_by_aff_by_savior,avg_missed_chances,avg_no_second_chance,avg_misclassifications,potential_for_misclassification,avg_ratio_found_anomalies
20.0,10.0,2.0,0.94,0.95,0.01,0,0.72,0.22,9.7,1.28,0.97,0.21,123.83999999999999,64.55,4.92,200.0,55.29,46.37,35.0,4.68,114.98,3231.0,571.07,30.927835051546392,2.39,0.62,20.61855670103093,0.62,0.03,0.65,100,1085.0,50.43,4.03e+26,0.0,28,230.54,25.86,0.08,0.08,3.0100000000000002,0.62,0.98
20.0,1.0,20.0,0.95,0.95,0.0,0,0.95,0.0,97.0,1.05,0.97,0.21,101.91000000000001,23.56,1.11,20.0,12.77,12.83,24.0,1.12,24.95,30.0,16.22,21.649484536082475,1.93,0.79,20.61855670103093,0.79,0.02,0.81,100,4.0,1.39,4.03e+26,0.0,27,87.26,6.29,0.01,0.02,2.7199999999999998,0.26,0.97
10.0,5.0,2.0,1.0,1.0,0.0,100,1.0,0.0,20.0,0.8,1.0,0.1,79.98,10.54,1.35,50.0,7.14,7.06,11.0,1.3,10.54,14.0,10.1,15.0,0.0,0.0,10.0,0.0,0.0,0.0,100,0.0,0.0,6.23e+09,0.0,14,75.29,10.3,0.0,0.0,0.0,0.0,1.0
10.0,20.0,0.5,1.0,1.0,0.0,100,1.0,0.0,5.0,1.14,1.0,0.1,113.52,17.99,3.97,200.0,32.91,32.74,13.5,3.62,17.99,61.0,51.85,30.0,0.0,0.0,10.0,0.0,0.0,0.0,100,0.0,0.0,6.23e+09,0.0,15,119.93,13.0,0.0,0.0,0.0,0.0,1.0
10.0,5.0,2.0,0.82,0.85,0.03,1,0.67,0.15,18.4,0.91,0.92,0.11,83.85000000000001,10.54,1.35,50.0,25.44,25.08,11.0,1.3,12.3,20.0,35.52,16.304347826086957,4.49,0.95,10.869565217391305,0.95,0.1,1.05,100,6.0,1.76,6.23e+09,0.0,14,75.29,10.31,0.15,0.08,5.44,5.07,0.92
20.0,5.0,4.0,1.0,1.0,0.0,100,1.0,0.0,20.0,1.08,1.0,0.2,108.36,19.3,2.11,100.0,31.95,33.31,19.0,1.96,19.3,28.0,40.33,25.0,0.0,0.0,20.0,0.0,0.0,0.0,100,0.0,0.0,4.03e+26,0.0,28,68.93,22.05,0.0,0.0,0.0,0.0,1.0
5.0,5.0,1.0,0.76,0.91,0.15,3,0.67,0.09,18.6,0.57,0.93,0.05,52.88999999999999,5.35,1.17,25.0,12.74,14.13,5.5,1.2,6.88,12.0,22.64,10.75268817204301,3.21,0.4,5.376344086021505,0.4,0.04,0.44,100,6.0,1.53,7.2e+02,0.74,7,76.43,4.01,0.08,0.02,3.61,6.11,0.93
5.0,10.0,0.5,0.91,0.97,0.06,28,0.81,0.1,9.7,0.63,0.97,0.05,60.629999999999995,4.92,1.33,50.0,14.18,15.69,5.0,1.2,5.44,9.0,20.01,15.463917525773196,1.12,0.12,5.154639175257732,0.12,0.03,0.15,100,3.0,0.52,7.2e+02,0.68,7,70.29,5.53,0.08,0.0,1.2400000000000002,3.83,0.97
1.0,10.0,0.1,0.71,1.0,0.29,37,0.59,0.12,9.3,0.21,0.93,0.01,19.349999999999998,1.0,1.0,10.0,3.73,3.06,1.0,1.0,1.62,4.0,11.28,11.827956989247312,1.29,0.07,1.075268817204301,0.07,-0.0,0.07,95,3.0,0.62,1.e+00,100.0,2,50.0,0.42,0.0,0.0,1.36,7.07,0.93
20.0,2.0,10.0,0.88,0.88,0.0,0,0.84,0.04,46.0,1.11,0.92,0.22,101.91000000000001,21.87,1.24,40.0,33.19,34.47,22.0,1.22,24.15,32.0,38.93,23.913043478260867,5.09,1.65,21.73913043478261,1.65,0.04,1.69,100,6.0,2.28,4.03e+26,0.0,27,81.0,11.68,0.05,0.03,6.74,1.38,0.93
