instance_set,num_instances,avg_tp,avg_tn,avg_fp,avg_fn,fp_dev_mean,fp_dev_max,avg_acc,avg_prec,avg_rec,avg_spec,avg_f1,avg_ano_link_perc,avg_model_acc,gt_match_perc,avg_ratio_of_found_gtfp,avg_num_fault_paths,max_num_fault_paths,avg_fault_path_len,max_fault_path_len,avg_runtime (s),avg_classification_ratio,diag_success_percentage,median_runtime (s),median_num_fault_paths,median_fault_path_len,max_runtime (s),avg_compensation_by_aff_by_savior,avg_missed_chances,avg_no_second_chance,fp_dev_min,avg_ratio_found_anomalies
20_10_95_99,100,25.35,95.63,2.39,0.62,50.43,1085.0,0.98,0.92,0.98,0.98,0.94,0.95,0.97,0,0.72,64.55,2146.0,4.92,10.96,55.29,0.96,100,46.37,35.0,4.68,571.07,25.86,0.08,0.08,0.0,0.98
20_1_95_99,100,25.19,73.89,1.93,0.79,1.39,4.0,0.97,0.93,0.97,0.97,0.95,0.95,0.97,0,0.95,23.56,26.0,1.11,1.32,12.77,0.79,100,12.83,24.0,1.12,16.22,6.29,0.01,0.02,0.0,0.97
10_5_100_100,100,13.0,66.71,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,10.54,14.0,1.35,2.36,7.14,0.62,100,7.06,11.0,1.3,10.1,10.3,0.0,0.0,0.0,1.0
10_20_100_100,100,13.0,101.11,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,17.99,61.0,3.97,8.16,32.91,0.88,100,32.74,13.5,3.62,51.85,13.0,0.0,0.0,0.0,1.0
10_5_90_95,100,11.95,66.1,4.49,0.95,1.76,6.0,0.93,0.73,0.93,0.94,0.82,0.85,0.92,1,0.67,10.54,14.0,1.35,2.36,25.44,0.65,100,25.08,11.0,1.3,35.52,10.31,0.15,0.08,0.0,0.92
20_5_100_100,100,26.0,82.29,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,19.3,28.0,2.11,4.68,31.95,0.84,100,33.31,19.0,1.96,40.33,22.05,0.0,0.0,0.0,1.0
5_5_90_95,100,5.56,44.04,3.21,0.4,1.53,6.0,0.93,0.66,0.93,0.93,0.76,0.91,0.93,3,0.67,5.35,6.0,1.17,2.0,12.74,0.41,100,14.13,5.5,1.2,22.64,4.01,0.08,0.02,0.0,0.93
5_10_95_99,100,5.85,53.34,1.12,0.12,0.52,3.0,0.98,0.85,0.98,0.98,0.91,0.97,0.97,28,0.81,4.92,6.0,1.33,3.0,14.18,0.47,100,15.69,5.0,1.2,20.01,5.53,0.08,0.0,0.0,0.97
1_10_90_95,100,0.93,16.64,1.29,0.07,0.62,3.0,0.94,0.6,0.93,0.95,0.71,1.0,0.93,37,0.59,1.0,1.0,1.0,1.0,3.73,0.15,95,3.06,1.0,1.0,11.28,0.42,0.0,0.0,0.0,0.93
20_2_90_95,100,24.31,70.87,5.09,1.65,2.28,6.0,0.93,0.83,0.93,0.93,0.88,0.88,0.92,0,0.84,21.87,26.0,1.24,1.61,33.19,0.79,100,34.47,22.0,1.22,38.93,11.68,0.05,0.03,0.0,0.93
