instance,TP,TN,FP,FN,#fp_dev,acc,prec,rec,spec,F1,ano_link_perc,avg_model_acc,gt_match,#fault_paths,ratio_of_found_gtfp,avg_fp_len,runtime (s),classification_ratio,diag_success,compensation_by_aff_by_savior,missed_chances,no_second_chance
10_20_95_99_64,12,97,4,1,14,0.96,0.75,0.92,0.96,0.83,66.67,0.97,False,7,0.14,3.14,11.04,0.88,True,13,0,0
10_20_95_99_17,13,102,1,0,4,0.99,0.93,1.0,0.99,0.96,100.0,0.97,False,16,1.0,4.0,10.71,0.9,True,13,0,0
10_20_95_99_34,13,101,2,0,3,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,13,0.62,2.69,11.23,0.9,True,13,0,0
10_20_95_99_35,13,106,2,0,29,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,29,0.97,4.62,16.96,0.94,True,13,0,0
10_20_95_99_97,12,105,2,1,0,0.97,0.86,0.92,0.98,0.89,86.15,0.97,False,20,0.6,4.25,10.52,0.93,True,13,0,0
10_20_95_99_65,13,102,3,0,23,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,14,0.14,4.14,11.4,0.91,True,13,0,0
10_20_95_99_9,13,103,3,0,4,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,21,0.24,3.86,11.94,0.92,True,13,0,0
10_20_95_99_4,13,110,3,0,55,0.98,0.81,1.0,0.97,0.9,100.0,0.97,False,30,0.43,4.8,17.16,0.98,True,13,0,0
10_20_95_99_56,13,104,3,0,98,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,17,0.41,4.35,15.06,0.93,True,13,0,0
10_20_95_99_28,13,103,4,0,14,0.97,0.76,1.0,0.96,0.86,100.0,0.97,False,11,0.82,3.27,9.13,0.93,True,13,0,0
10_20_95_99_63,13,108,4,0,63,0.97,0.76,1.0,0.96,0.86,100.0,0.97,False,14,0.71,5.0,10.66,0.97,True,13,0,0
10_20_95_99_49,12,95,2,1,3,0.97,0.86,0.92,0.98,0.89,90.91,0.97,False,13,0.69,3.54,10.42,0.85,True,13,0,0
10_20_95_99_11,12,83,2,1,3,0.97,0.86,0.92,0.98,0.89,72.41,0.97,False,14,0.64,3.07,9.04,0.76,True,13,0,0
10_20_95_99_13,12,97,2,1,3,0.97,0.86,0.92,0.98,0.89,93.33,0.97,False,13,0.85,2.15,9.65,0.87,True,13,0,0
